InteractionID,CustomerID,CustomerName,City,Industry,SalesRep,LeadSource,InteractionDate,OpportunityValue,Status,ContactMethod,SatisfactionScore
45,CUST1045,Katherine Juarez,Delhi,Manufacturing,Rahul Verma,LinkedIn,16-07-2025,40337.76,Won,Phone,4
46,CUST1046,Randall Snow MD,Bangalore,Healthcare,Anjali Rao,Advertisement,01-09-2025,8097.48,Open,Meeting,4
47,CUST1047,Mary Davis,Bangalore,IT,Rahul Verma,Advertisement,08-12-2025,11756.79,Lost,Phone,8
48,CUST1048,Luke Hernandez,Delhi,Manufacturing,Rahul Verma,LinkedIn,09-04-2026,29952,Lost,Phone,5
49,CUST1049,Alexander Cook,Pune,IT,Kiran Das,LinkedIn,25-04-2026,92404.64,Won,Meeting,7
50,CUST1050,Alice Gray,Delhi,Healthcare,Priya Sharma,LinkedIn,19-12-2025,5107.37,Lost,Meeting,4
51,CUST1051,Christopher Young,Hyderabad,Healthcare,Kiran Das,Website,08-03-2026,98623.33,Lost,Meeting,7
52,CUST1052,Daniel Smith,Hyderabad,Manufacturing,Priya Sharma,Event,12-02-2026,77406.78,Open,Meeting,1
53,CUST1053,Jackson Weeks,Delhi,Healthcare,Kiran Das,Referral,06-10-2025,48868.72,Won,Meeting,10
54,CUST1054,Kevin Gray,Bangalore,Retail,Priya Sharma,Website,26-03-2026,34383.75,Lost,Meeting,6
55,CUST1055,Nathan Miller,Delhi,Manufacturing,Rahul Verma,Event,30-05-2026,72137.19,Won,Email,7
56,CUST1056,Kaitlin Sanders,Hyderabad,Healthcare,Anjali Rao,Advertisement,26-10-2025,56644.64,Won,Email,7
57,CUST1057,Kaitlyn Russell,Pune,Finance,Rahul Verma,Event,04-02-2026,56712.69,Won,Email,10
58,CUST1058,Lori Park,Hyderabad,Retail,Anjali Rao,Advertisement,14-09-2025,99094.61,Open,Meeting,1
59,CUST1059,Sarah Cannon,Pune,Healthcare,Rahul Verma,LinkedIn,16-03-2026,62981.75,Lost,Phone,4
60,CUST1060,Adam Alexander,Chennai,IT,Anjali Rao,LinkedIn,15-10-2025,52142.82,Lost,Phone,4
61,CUST1061,Cristian Ramirez,Delhi,Finance,Rahul Verma,Event,08-06-2026,47173.23,Won,Phone,1
62,CUST1062,Evelyn Johnson,Delhi,Finance,Kiran Das,Website,12-12-2025,75386.08,Lost,Email,1
63,CUST1063,James Salas,Bangalore,IT,Kiran Das,Event,23-02-2026,77458.03,Won,Phone,9
64,CUST1064,Lauren Proctor,Chennai,Finance,Kiran Das,Website,22-12-2025,7998.84,Lost,Phone,10
65,CUST1065,Miss Sarah Ross MD,Chennai,Finance,Priya Sharma,Event,13-03-2026,36291.7,Open,Meeting,3
66,CUST1066,Laurie Andrews,Pune,Manufacturing,Rahul Verma,Referral,15-01-2026,5730.13,Won,Email,5
67,CUST1067,Erin Hansen,Bangalore,Manufacturing,Priya Sharma,Event,23-10-2025,19749.85,Open,Phone,8
68,CUST1068,Margaret Fields,Delhi,Healthcare,Anjali Rao,Referral,27-09-2025,68121.1,Won,Meeting,3
69,CUST1069,Jessica Boyd,Hyderabad,Finance,Kiran Das,Referral,12-01-2026,75505.1,Lost,Phone,4
70,CUST1070,Tammy Washington,Bangalore,Healthcare,Priya Sharma,LinkedIn,10-08-2025,50977.85,Lost,Email,2
71,CUST1071,Heather Allen,Mumbai,IT,Priya Sharma,Advertisement,03-02-2026,84005.77,Open,Email,5
72,CUST1072,Lauren Simpson,Bangalore,IT,Kiran Das,Advertisement,06-08-2025,82991.55,Won,Meeting,10
73,CUST1073,Karen Patterson,Mumbai,Retail,Kiran Das,Event,18-09-2025,47426.15,Won,Meeting,9
74,CUST1074,James Carter,Pune,Healthcare,Priya Sharma,Advertisement,23-08-2025,87715.4,Open,Email,2
75,CUST1075,Brenda Price,Pune,Finance,Rahul Verma,LinkedIn,02-12-2025,51906.73,Lost,Phone,9
76,CUST1076,Jerry Reyes,Chennai,Healthcare,Anjali Rao,Referral,27-04-2026,66078.26,Won,Email,7
77,CUST1077,Brittany Perez,Pune,Finance,Priya Sharma,Event,23-05-2026,9253.89,Lost,Meeting,5
78,CUST1078,Alexander Watts,Chennai,Manufacturing,Kiran Das,Advertisement,10-11-2025,79914.55,Lost,Email,9
79,CUST1079,Christopher Bailey III,Delhi,IT,Kiran Das,Advertisement,11-06-2026,12543.89,Open,Phone,7
80,CUST1080,Shawn Rush,Hyderabad,Retail,Anjali Rao,Referral,14-06-2026,67632.98,Won,Phone,9
81,CUST1081,Jennifer Chandler,Chennai,Retail,Kiran Das,Advertisement,12-07-2025,41544.47,Lost,Email,8
82,CUST1082,Hunter Johnson,Delhi,IT,Anjali Rao,Referral,07-09-2025,68380.74,Lost,Phone,6
83,CUST1083,Vicki Robertson,Mumbai,Retail,Rahul Verma,Event,23-12-2025,63140.54,Lost,Email,4
84,CUST1084,Cody Benton,Mumbai,IT,Rahul Verma,Referral,27-06-2025,64108.72,Lost,Email,3
85,CUST1085,Alexandra Cook,Pune,Healthcare,Kiran Das,Website,18-04-2026,98987.83,Open,Email,8
86,CUST1086,Dawn Carroll,Delhi,Healthcare,Priya Sharma,Website,11-06-2026,45231.16,Open,Meeting,9
87,CUST1087,Jessica Smith DDS,Pune,IT,Kiran Das,Referral,24-01-2026,28666.15,Won,Email,5
88,CUST1088,Laura Frost,Mumbai,IT,Rahul Verma,Referral,06-10-2025,42507.25,Open,Meeting,8
89,CUST1089,Melissa Ford,Bangalore,Finance,Kiran Das,Advertisement,02-06-2026,48441.97,Open,Meeting,9
90,CUST1090,Frank Johnson,Delhi,Finance,Kiran Das,LinkedIn,22-06-2026,9215.23,Won,Email,2
91,CUST1091,Daniel Avery,Pune,IT,Kiran Das,Advertisement,17-10-2025,71570.26,Open,Meeting,7
92,CUST1092,Rebecca Johnson,Mumbai,IT,Anjali Rao,Event,28-05-2026,65818.41,Lost,Meeting,1
93,CUST1093,Tiffany Wells,Pune,Retail,Priya Sharma,Event,09-02-2026,27452,Lost,Meeting,9
94,CUST1094,Angelica Martinez,Delhi,IT,Priya Sharma,Advertisement,17-11-2025,23858.65,Won,Meeting,10
95,CUST1095,John Pierce,Mumbai,Retail,Anjali Rao,LinkedIn,04-08-2025,5012.44,Won,Meeting,10
96,CUST1096,Mary Cisneros,Pune,Retail,Anjali Rao,Advertisement,10-12-2025,32816.96,Open,Phone,2
97,CUST1097,Phillip Caldwell,Mumbai,Retail,Kiran Das,Advertisement,09-08-2025,48589.77,Open,Email,3
98,CUST1098,Darin Pearson,Bangalore,Retail,Rahul Verma,Advertisement,10-07-2025,98890.35,Lost,Email,1
99,CUST1099,Thomas Wade,Chennai,Retail,Rahul Verma,Website,06-12-2025,16673.85,Won,Email,10
100,CUST1100,Christopher Jackson,Chennai,Retail,Priya Sharma,Event,29-12-2025,15719.49,Open,Meeting,5
101,CUST1101,Anthony Gonzalez,Chennai,Retail,Anjali Rao,LinkedIn,08-03-2026,45874.12,Lost,Email,4
102,CUST1102,Matthew Baker,Delhi,Retail,Priya Sharma,Website,09-04-2026,52144.45,Open,Phone,4
103,CUST1103,Brendan Rogers,Mumbai,IT,Rahul Verma,LinkedIn,01-11-2025,36643.22,Lost,Phone,10
104,CUST1104,Catherine Estrada,Bangalore,Finance,Anjali Rao,Advertisement,18-07-2025,33194.32,Won,Meeting,2
105,CUST1105,Brittany Odonnell,Bangalore,IT,Kiran Das,LinkedIn,23-02-2026,74932.51,Open,Meeting,3
106,CUST1106,Amy Clark,Mumbai,Retail,Anjali Rao,Event,07-03-2026,67925.1,Lost,Phone,5
107,CUST1107,Joshua Wood,Mumbai,Manufacturing,Anjali Rao,Referral,27-10-2025,49714.78,Lost,Phone,6
108,CUST1108,Jessica Aguilar,Bangalore,Healthcare,Rahul Verma,Referral,12-02-2026,57407.58,Lost,Email,5
109,CUST1109,Samuel Roberson,Chennai,IT,Anjali Rao,LinkedIn,21-11-2025,75210.99,Lost,Email,9
110,CUST1110,Heather Cervantes,Mumbai,Healthcare,Kiran Das,LinkedIn,29-11-2025,49953.9,Open,Meeting,4
111,CUST1111,Jeffery Young,Chennai,Finance,Anjali Rao,LinkedIn,02-01-2026,55038.62,Lost,Meeting,3
112,CUST1112,Samuel Sharp,Chennai,IT,Anjali Rao,LinkedIn,21-11-2025,81408.04,Open,Phone,7
113,CUST1113,Ronald Bailey,Chennai,Healthcare,Rahul Verma,Advertisement,02-04-2026,97870.82,Open,Phone,6
114,CUST1114,Kathleen Fisher,Delhi,Manufacturing,Rahul Verma,Advertisement,27-09-2025,23820.02,Open,Email,3
115,CUST1115,Jennifer Rosales,Hyderabad,Finance,Priya Sharma,Event,28-05-2026,65195.96,Lost,Email,10
116,CUST1116,Sean Payne,Chennai,Finance,Rahul Verma,LinkedIn,11-12-2025,88401.83,Won,Phone,7
117,CUST1117,Mark Smith,Delhi,Healthcare,Priya Sharma,LinkedIn,10-01-2026,5193.51,Lost,Phone,7
118,CUST1118,Alejandro Mcguire,Chennai,Retail,Priya Sharma,Referral,18-07-2025,76088.61,Open,Phone,1
119,CUST1119,Jessica Lambert,Bangalore,Healthcare,Rahul Verma,Website,09-11-2025,78962.2,Lost,Meeting,3
120,CUST1120,Kathy Collins,Mumbai,Healthcare,Rahul Verma,Advertisement,30-04-2026,24828.01,Won,Phone,2
121,CUST1121,Tyler Watson,Bangalore,Retail,Rahul Verma,Referral,26-03-2026,35131.53,Open,Meeting,1
122,CUST1122,Mary Sims,Hyderabad,Healthcare,Priya Sharma,LinkedIn,12-01-2026,68208.52,Open,Email,7
123,CUST1123,Bradley Mitchell,Bangalore,IT,Rahul Verma,Website,27-12-2025,77661.26,Won,Email,7
124,CUST1124,Michael Johnson,Pune,Healthcare,Priya Sharma,Referral,06-09-2025,6539.47,Open,Meeting,9
125,CUST1125,Monique Peterson,Mumbai,IT,Anjali Rao,Advertisement,02-09-2025,18720.92,Won,Email,4
126,CUST1126,Thomas Lopez,Hyderabad,IT,Kiran Das,LinkedIn,16-05-2026,97933.75,Open,Email,8
127,CUST1127,James Garcia,Hyderabad,Manufacturing,Rahul Verma,Advertisement,08-03-2026,59888.24,Won,Meeting,4
128,CUST1128,Eric Wade,Chennai,Manufacturing,Anjali Rao,Referral,25-01-2026,81001.54,Lost,Email,5
129,CUST1129,Katie Roberts,Mumbai,Retail,Kiran Das,LinkedIn,31-03-2026,21250.3,Lost,Phone,4
130,CUST1130,Aaron Vang,Bangalore,Manufacturing,Anjali Rao,LinkedIn,01-10-2025,83461.7,Won,Phone,8
131,CUST1131,Christopher Williamson,Bangalore,IT,Kiran Das,Event,11-11-2025,26805.02,Open,Email,9
132,CUST1132,Johnny Prince,Mumbai,Retail,Rahul Verma,Event,01-03-2026,42564.22,Won,Phone,3
133,CUST1133,Brandon Barry,Pune,Healthcare,Rahul Verma,Advertisement,16-10-2025,14405.55,Won,Phone,10
134,CUST1134,Daniel Miller,Pune,Finance,Anjali Rao,Website,09-04-2026,71510.25,Open,Meeting,6
135,CUST1135,Vanessa Little,Chennai,Healthcare,Priya Sharma,Advertisement,20-10-2025,38506.04,Open,Email,4
136,CUST1136,Brandi Bean,Hyderabad,IT,Rahul Verma,LinkedIn,26-09-2025,35220.09,Lost,Phone,2
137,CUST1137,Kayla Stephens,Mumbai,Manufacturing,Priya Sharma,Referral,23-05-2026,24963.32,Open,Email,3
138,CUST1138,Luis Simon,Hyderabad,Healthcare,Kiran Das,Advertisement,22-01-2026,99204.24,Lost,Meeting,1
139,CUST1139,Joseph White,Mumbai,IT,Kiran Das,Referral,20-05-2026,6922.23,Lost,Phone,9
140,CUST1140,Sheila Love,Mumbai,Finance,Rahul Verma,Advertisement,13-08-2025,14531.82,Open,Phone,7
141,CUST1141,Donald Williams,Bangalore,Manufacturing,Rahul Verma,LinkedIn,24-12-2025,75202.99,Open,Meeting,1
142,CUST1142,Leon Schwartz,Delhi,Manufacturing,Rahul Verma,Event,29-04-2026,21352.65,Won,Email,6
143,CUST1143,Ryan Meyer,Chennai,Retail,Anjali Rao,Advertisement,10-02-2026,47458.94,Won,Phone,1
144,CUST1144,Sandra Hardy,Hyderabad,Healthcare,Priya Sharma,Event,20-12-2025,20537.59,Won,Meeting,8
145,CUST1145,Nicholas Jennings,Mumbai,Healthcare,Kiran Das,LinkedIn,31-07-2025,5884.91,Open,Email,4
146,CUST1146,Cindy Edwards,Mumbai,IT,Anjali Rao,Referral,31-12-2025,28825.82,Open,Email,5
147,CUST1147,William Lee,Chennai,IT,Anjali Rao,Advertisement,16-12-2025,11262.61,Open,Meeting,5
148,CUST1148,William Long,Pune,Finance,Anjali Rao,Event,01-02-2026,54735.45,Open,Phone,9
149,CUST1149,Anthony Mathis,Hyderabad,Finance,Priya Sharma,Advertisement,15-02-2026,16054.8,Won,Email,6
150,CUST1150,Carrie Anderson,Mumbai,IT,Kiran Das,Website,13-03-2026,58349.33,Lost,Email,8
151,CUST1151,Kristi Lewis,Chennai,Manufacturing,Kiran Das,Advertisement,25-02-2026,20318.88,Open,Phone,2
152,CUST1152,Michael Williams,Chennai,Finance,Kiran Das,Event,29-10-2025,23989.63,Lost,Meeting,1
153,CUST1153,Mary Petersen,Bangalore,IT,Anjali Rao,Advertisement,07-01-2026,57001.34,Open,Meeting,10
154,CUST1154,Christopher Perez,Hyderabad,Finance,Rahul Verma,Website,08-01-2026,31795.16,Won,Email,9
155,CUST1155,Stephanie Hill,Mumbai,IT,Kiran Das,Event,28-09-2025,42596.65,Open,Meeting,9
156,CUST1156,James Jones,Delhi,Manufacturing,Rahul Verma,Advertisement,12-03-2026,55869.87,Open,Phone,8
157,CUST1157,Paul Olsen,Chennai,IT,Rahul Verma,LinkedIn,07-11-2025,46714.4,Won,Phone,10
158,CUST1158,Dana Robinson,Chennai,Manufacturing,Rahul Verma,Referral,10-02-2026,24721.94,Lost,Phone,9
159,CUST1159,Sabrina Moreno,Delhi,Healthcare,Rahul Verma,Advertisement,02-11-2025,7639.97,Open,Email,8
160,CUST1160,Steven Miller,Chennai,Finance,Priya Sharma,LinkedIn,19-10-2025,40599.48,Lost,Meeting,10
161,CUST1161,Robert Jones,Bangalore,IT,Rahul Verma,Event,15-05-2026,96456.17,Won,Email,3
162,CUST1162,Christopher Campbell,Bangalore,Retail,Anjali Rao,LinkedIn,04-04-2026,77089.79,Won,Email,6
163,CUST1163,Kristen Phillips,Mumbai,Healthcare,Anjali Rao,Website,02-02-2026,10520,Won,Meeting,4
164,CUST1164,David Brown,Mumbai,Retail,Kiran Das,LinkedIn,01-12-2025,82037.9,Open,Meeting,7
165,CUST1165,Jose Monroe,Mumbai,Finance,Rahul Verma,Event,23-06-2026,82052.71,Open,Email,10
166,CUST1166,Jack Castillo,Hyderabad,IT,Anjali Rao,Referral,19-10-2025,42996.47,Lost,Meeting,8
167,CUST1167,Jessica Zuniga,Hyderabad,Manufacturing,Anjali Rao,LinkedIn,03-07-2025,65130.55,Won,Phone,10
168,CUST1168,Jessica Vaughan,Bangalore,Finance,Priya Sharma,Website,14-05-2026,8406.5,Open,Email,6
169,CUST1169,Diane Barker,Mumbai,Healthcare,Anjali Rao,Advertisement,04-06-2026,91503.51,Won,Email,2
170,CUST1170,Joyce Martin,Bangalore,Retail,Anjali Rao,Referral,17-03-2026,95731.69,Open,Meeting,2
171,CUST1171,Darrell Beck,Hyderabad,IT,Anjali Rao,Website,22-07-2025,96783.14,Lost,Email,1
172,CUST1172,Heather Sawyer,Hyderabad,Healthcare,Priya Sharma,Referral,24-05-2026,45800.95,Lost,Meeting,1
173,CUST1173,Robert Obrien,Pune,Retail,Kiran Das,LinkedIn,28-08-2025,52707.97,Open,Email,7
174,CUST1174,Mrs. Stacey Webb,Bangalore,Manufacturing,Anjali Rao,Referral,30-09-2025,20589.89,Won,Email,10
175,CUST1175,Theresa Hurley,Mumbai,Manufacturing,Kiran Das,Website,22-02-2026,81848.33,Lost,Phone,3
176,CUST1176,Gina Wilkinson,Hyderabad,IT,Rahul Verma,LinkedIn,09-09-2025,14781.59,Open,Meeting,3
177,CUST1177,Jessica Long,Bangalore,Finance,Rahul Verma,Referral,02-09-2025,61164.98,Open,Email,6
178,CUST1178,Mr. Brett Jenkins,Mumbai,Manufacturing,Priya Sharma,Referral,12-07-2025,25964.96,Won,Email,5
179,CUST1179,Vanessa Knapp,Hyderabad,Healthcare,Kiran Das,LinkedIn,31-10-2025,21747.6,Open,Meeting,1
180,CUST1180,Alexandria Salazar,Bangalore,Healthcare,Priya Sharma,Referral,06-10-2025,43224.36,Won,Phone,7
181,CUST1181,Robert Elliott,Pune,IT,Rahul Verma,Referral,19-06-2026,79239.55,Open,Meeting,2
182,CUST1182,Darryl Roberts,Hyderabad,Healthcare,Anjali Rao,Website,31-01-2026,80439.95,Open,Email,7
183,CUST1183,Brandi Harris,Bangalore,Finance,Kiran Das,Referral,02-05-2026,31384.75,Open,Email,1
184,CUST1184,Michael Padilla MD,Mumbai,Healthcare,Rahul Verma,Website,05-06-2026,88057.13,Won,Email,4
185,CUST1185,Bryan Hunter,Mumbai,IT,Priya Sharma,Website,19-01-2026,92789.81,Open,Meeting,5
186,CUST1186,Cathy Taylor,Bangalore,Finance,Anjali Rao,Advertisement,23-01-2026,64487.9,Lost,Email,1
187,CUST1187,Trevor Carr,Chennai,Healthcare,Anjali Rao,Advertisement,17-03-2026,83619.93,Lost,Phone,10
188,CUST1188,Daniel Stevens,Pune,Retail,Anjali Rao,Advertisement,06-04-2026,28588.48,Won,Meeting,10
189,CUST1189,Ian Harrison,Pune,Retail,Priya Sharma,LinkedIn,28-08-2025,87249.68,Open,Phone,4
190,CUST1190,Annette Weaver,Pune,Manufacturing,Priya Sharma,Event,05-02-2026,84530.4,Lost,Meeting,5
191,CUST1191,David Tucker,Hyderabad,Finance,Priya Sharma,Website,09-10-2025,81972.08,Won,Phone,6
192,CUST1192,John Carter,Chennai,Manufacturing,Rahul Verma,Event,29-06-2025,94396.98,Open,Email,8
193,CUST1193,Tammie Ingram,Delhi,Finance,Rahul Verma,Referral,29-01-2026,6943.12,Open,Phone,2
194,CUST1194,Matthew Collins,Mumbai,Retail,Kiran Das,Referral,07-08-2025,85993.85,Open,Phone,6
195,CUST1195,Matthew Martinez,Chennai,Finance,Rahul Verma,LinkedIn,09-09-2025,34222.16,Open,Meeting,7
196,CUST1196,Seth Ramirez,Delhi,Retail,Priya Sharma,Referral,19-12-2025,68762.86,Open,Email,3
197,CUST1197,Carla Guzman,Pune,Retail,Priya Sharma,Event,31-10-2025,32071.39,Won,Phone,10
198,CUST1198,Peter Ware,Bangalore,IT,Priya Sharma,LinkedIn,19-01-2026,60473.43,Open,Meeting,3
199,CUST1199,Justin Booth,Chennai,Finance,Kiran Das,Event,29-11-2025,94200.37,Won,Email,6
200,CUST1200,Christopher Garrett,Hyderabad,Manufacturing,Kiran Das,Website,03-10-2025,40820.75,Lost,Email,4
201,CUST1201,Jason Munoz,Bangalore,Finance,Rahul Verma,LinkedIn,26-01-2026,75203.57,Open,Email,4
202,CUST1202,Jeffrey Nelson,Chennai,Healthcare,Anjali Rao,LinkedIn,25-01-2026,77357.52,Open,Phone,4
203,CUST1203,Mary Foster,Pune,IT,Anjali Rao,Event,23-06-2026,71939.58,Lost,Meeting,7
204,CUST1204,Dr. Brittany Knox,Hyderabad,Manufacturing,Rahul Verma,Website,11-11-2025,16420.01,Won,Phone,9
205,CUST1205,Christopher Hale,Chennai,IT,Priya Sharma,Website,16-03-2026,99185.88,Lost,Meeting,1
206,CUST1206,Antonio Johnson,Hyderabad,Healthcare,Kiran Das,Event,23-11-2025,42868.73,Won,Meeting,4
207,CUST1207,Robin Powell,Chennai,Healthcare,Priya Sharma,Event,21-05-2026,74032.16,Won,Email,4
208,CUST1208,Daniel Lee,Pune,Manufacturing,Rahul Verma,Advertisement,26-04-2026,54452.4,Won,Phone,1
209,CUST1209,Cindy Huber,Chennai,Healthcare,Anjali Rao,Event,20-08-2025,63137.88,Lost,Email,10
210,CUST1210,Joe Beard,Mumbai,Healthcare,Rahul Verma,LinkedIn,24-06-2025,7508.05,Lost,Meeting,2
211,CUST1211,Samuel Mitchell,Hyderabad,Manufacturing,Kiran Das,Event,04-08-2025,37286.83,Lost,Email,2
212,CUST1212,Leslie Perez,Pune,Manufacturing,Anjali Rao,Advertisement,09-11-2025,55279.59,Lost,Email,8
213,CUST1213,Bradley Briggs,Mumbai,Healthcare,Kiran Das,Referral,05-10-2025,33829.86,Open,Email,6
214,CUST1214,Keith Mullins,Bangalore,Healthcare,Rahul Verma,Event,16-07-2025,56876.93,Open,Phone,2
215,CUST1215,Benjamin Foster III,Bangalore,Finance,Rahul Verma,LinkedIn,30-12-2025,85043.69,Won,Meeting,7
216,CUST1216,Cindy Stafford,Pune,Retail,Kiran Das,Event,04-06-2026,47541.75,Lost,Email,3
217,CUST1217,Christina Campbell,Mumbai,Healthcare,Anjali Rao,Advertisement,22-08-2025,73158.27,Open,Meeting,5
218,CUST1218,Kimberly Perez,Hyderabad,Finance,Priya Sharma,Website,10-09-2025,79737.97,Open,Phone,2
219,CUST1219,Norman Tate,Hyderabad,IT,Priya Sharma,Website,08-02-2026,74583.67,Won,Email,5
220,CUST1220,Kimberly George,Delhi,Retail,Anjali Rao,Referral,26-09-2025,47277.04,Lost,Phone,2
221,CUST1221,Daniel Cummings,Mumbai,Finance,Priya Sharma,Website,02-12-2025,17710.21,Lost,Phone,2
222,CUST1222,Mr. David Nicholson,Chennai,Retail,Rahul Verma,Advertisement,02-03-2026,21932.21,Won,Phone,8
223,CUST1223,Carrie Jones,Mumbai,Manufacturing,Rahul Verma,Referral,18-05-2026,85407.94,Lost,Email,3
224,CUST1224,Lance Sanchez,Chennai,Healthcare,Kiran Das,Event,08-09-2025,28542.7,Won,Meeting,2
225,CUST1225,Daniel Ballard,Mumbai,Manufacturing,Anjali Rao,LinkedIn,11-03-2026,13423.18,Won,Meeting,10
226,CUST1226,Joshua Villegas,Chennai,IT,Anjali Rao,Event,09-02-2026,44388.57,Lost,Phone,9
227,CUST1227,Charlene Stone,Mumbai,Manufacturing,Priya Sharma,Referral,12-04-2026,28430.81,Won,Email,6
228,CUST1228,Crystal Barnes,Mumbai,Retail,Kiran Das,Website,23-10-2025,41673.67,Open,Meeting,5
